Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 6A_1	Peptides 6A_2	Peptides 6A_3	Peptides 6A_4	Peptides 6A_5	Peptides 6A_6	Peptides 6A_7	Peptides 6A_8	Peptides 6A_9	Peptides 6B_1	Peptides 6B_2	Peptides 6B_3	Peptides 6B_4	Peptides 6B_5	Peptides 6B_6	Peptides 6B_7	Peptides 6B_8	Peptides 6B_9	Peptides 6C_1	Peptides 6C_2	Peptides 6C_3	Peptides 6C_4	Peptides 6C_5	Peptides 6C_6	Peptides 6C_7	Peptides 6C_8	Peptides 6C_9	Razor + unique peptides 6A_1	Razor + unique peptides 6A_2	Razor + unique peptides 6A_3	Razor + unique peptides 6A_4	Razor + unique peptides 6A_5	Razor + unique peptides 6A_6	Razor + unique peptides 6A_7	Razor + unique peptides 6A_8	Razor + unique peptides 6A_9	Razor + unique peptides 6B_1	Razor + unique peptides 6B_2	Razor + unique peptides 6B_3	Razor + unique peptides 6B_4	Razor + unique peptides 6B_5	Razor + unique peptides 6B_6	Razor + unique peptides 6B_7	Razor + unique peptides 6B_8	Razor + unique peptides 6B_9	Razor + unique peptides 6C_1	Razor + unique peptides 6C_2	Razor + unique peptides 6C_3	Razor + unique peptides 6C_4	Razor + unique peptides 6C_5	Razor + unique peptides 6C_6	Razor + unique peptides 6C_7	Razor + unique peptides 6C_8	Razor + unique peptides 6C_9	Unique peptides 6A_1	Unique peptides 6A_2	Unique peptides 6A_3	Unique peptides 6A_4	Unique peptides 6A_5	Unique peptides 6A_6	Unique peptides 6A_7	Unique peptides 6A_8	Unique peptides 6A_9	Unique peptides 6B_1	Unique peptides 6B_2	Unique peptides 6B_3	Unique peptides 6B_4	Unique peptides 6B_5	Unique peptides 6B_6	Unique peptides 6B_7	Unique peptides 6B_8	Unique peptides 6B_9	Unique peptides 6C_1	Unique peptides 6C_2	Unique peptides 6C_3	Unique peptides 6C_4	Unique peptides 6C_5	Unique peptides 6C_6	Unique peptides 6C_7	Unique peptides 6C_8	Unique peptides 6C_9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 6A_1	Identification type 6A_2	Identification type 6A_3	Identification type 6A_4	Identification type 6A_5	Identification type 6A_6	Identification type 6A_7	Identification type 6A_8	Identification type 6A_9	Identification type 6B_1	Identification type 6B_2	Identification type 6B_3	Identification type 6B_4	Identification type 6B_5	Identification type 6B_6	Identification type 6B_7	Identification type 6B_8	Identification type 6B_9	Identification type 6C_1	Identification type 6C_2	Identification type 6C_3	Identification type 6C_4	Identification type 6C_5	Identification type 6C_6	Identification type 6C_7	Identification type 6C_8	Identification type 6C_9	Sequence coverage 6A_1 [%]	Sequence coverage 6A_2 [%]	Sequence coverage 6A_3 [%]	Sequence coverage 6A_4 [%]	Sequence coverage 6A_5 [%]	Sequence coverage 6A_6 [%]	Sequence coverage 6A_7 [%]	Sequence coverage 6A_8 [%]	Sequence coverage 6A_9 [%]	Sequence coverage 6B_1 [%]	Sequence coverage 6B_2 [%]	Sequence coverage 6B_3 [%]	Sequence coverage 6B_4 [%]	Sequence coverage 6B_5 [%]	Sequence coverage 6B_6 [%]	Sequence coverage 6B_7 [%]	Sequence coverage 6B_8 [%]	Sequence coverage 6B_9 [%]	Sequence coverage 6C_1 [%]	Sequence coverage 6C_2 [%]	Sequence coverage 6C_3 [%]	Sequence coverage 6C_4 [%]	Sequence coverage 6C_5 [%]	Sequence coverage 6C_6 [%]	Sequence coverage 6C_7 [%]	Sequence coverage 6C_8 [%]	Sequence coverage 6C_9 [%]	Intensity	Intensity 6A_1	Intensity 6A_2	Intensity 6A_3	Intensity 6A_4	Intensity 6A_5	Intensity 6A_6	Intensity 6A_7	Intensity 6A_8	Intensity 6A_9	Intensity 6B_1	Intensity 6B_2	Intensity 6B_3	Intensity 6B_4	Intensity 6B_5	Intensity 6B_6	Intensity 6B_7	Intensity 6B_8	Intensity 6B_9	Intensity 6C_1	Intensity 6C_2	Intensity 6C_3	Intensity 6C_4	Intensity 6C_5	Intensity 6C_6	Intensity 6C_7	Intensity 6C_8	Intensity 6C_9	LFQ intensity 6A_1	LFQ intensity 6A_2	LFQ intensity 6A_3	LFQ intensity 6A_4	LFQ intensity 6A_5	LFQ intensity 6A_6	LFQ intensity 6A_7	LFQ intensity 6A_8	LFQ intensity 6A_9	LFQ intensity 6B_1	LFQ intensity 6B_2	LFQ intensity 6B_3	LFQ intensity 6B_4	LFQ intensity 6B_5	LFQ intensity 6B_6	LFQ intensity 6B_7	LFQ intensity 6B_8	LFQ intensity 6B_9	LFQ intensity 6C_1	LFQ intensity 6C_2	LFQ intensity 6C_3	LFQ intensity 6C_4	LFQ intensity 6C_5	LFQ intensity 6C_6	LFQ intensity 6C_7	LFQ intensity 6C_8	LFQ intensity 6C_9	MS/MS count 6A_1	MS/MS count 6A_2	MS/MS count 6A_3	MS/MS count 6A_4	MS/MS count 6A_5	MS/MS count 6A_6	MS/MS count 6A_7	MS/MS count 6A_8	MS/MS count 6A_9	MS/MS count 6B_1	MS/MS count 6B_2	MS/MS count 6B_3	MS/MS count 6B_4	MS/MS count 6B_5	MS/MS count 6B_6	MS/MS count 6B_7	MS/MS count 6B_8	MS/MS count 6B_9	MS/MS count 6C_1	MS/MS count 6C_2	MS/MS count 6C_3	MS/MS count 6C_4	MS/MS count 6C_5	MS/MS count 6C_6	MS/MS count 6C_7	MS/MS count 6C_8	MS/MS count 6C_9	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A5Z2X5	A5Z2X5	1	1	1	UPF0495 protein YPR010C-A	YPR010C-A	UPF0495 protein YPR010C-A	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	22.2	22.2	22.2	7.9021	72	72	0.00084602	5.5127				By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS				By MS/MS	By MS/MS	By MS/MS	By matching		By MS/MS				By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	0	0	0	22.2	22.2	22.2	22.2	22.2	22.2	0	0	0	22.2	22.2	22.2	22.2	0	22.2	0	0	0	22.2	22.2	22.2	22.2	22.2	22.2	1340500	0	0	0	128080	171520	199370	38048	40634	74145	0	0	0	62901	88832	89544	22532	0	37595	0	0	0	80719	62562	97887	33732	55104	57263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81650	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	14				0	5430	True	5698	87802;87803;87804;87805;87806;87807;87808;87809;87810;87811;87812;87813;87814;87815;87816;87817;87818	53318;53319;53320;53321;53322;53323;53324;53325;53326;53327;53328;53329;53330;53331	53322		
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	4;3	4;3	4;3			;	2	4	4	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	2.7	2.7	2.7	192.99	1742	1742;1741	0	7.1301							By MS/MS									By MS/MS									By MS/MS			0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	1.9	0	0	1194100	0	0	0	0	0	0	438730	0	0	0	0	0	0	0	0	491420	0	0	0	0	0	0	0	0	263960	0	0	0	0	0	0	0	0	592210	0	0	0	0	0	0	0	0	562300	0	0	0	0	0	0	0	0	556570	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	7			+	1	1897;4049;4456;9677	True;True;True;True	2012;4251;4674;10350	31059;31060;31061;65145;65146;65147;65148;65149;71955;71956;71957;158566;158567	19233;39992;39993;43694;43695;43696;96251	19233;39993;43695;96251		
CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229	2;2	2;2	2;2			;	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4.9	4.9	4.9	53.341	474	474;475	0	7.5513							By MS/MS									By MS/MS									By MS/MS			0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	4.9	0	0	1108700	0	0	0	0	0	0	481630	0	0	0	0	0	0	0	0	372530	0	0	0	0	0	0	0	0	254500	0	0	0	0	0	0	0	0	755920	0	0	0	0	0	0	0	0	698680	0	0	0	0	0	0	0	0	447170	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	6			+	2	3300;3301	True;True	3464;3465	53103;53104;53105;53106;53107;53108	32638;32639;32640;32641;32642;32643	32641;32643		
CON__P00761	CON__P00761	3	3	3				1	3	3	3	2	2	1	2	2	2	3	3	2	1	2	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	2	2	1	2	2	2	3	3	2	1	2	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	2	2	1	2	2	2	3	3	2	1	2	2	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3	16.5	16.5	16.5	24.409	231	231	0	31.339	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.8	7.8	4.3	7.8	7.8	7.8	16.5	16.5	7.8	4.3	7.8	7.8	7.8	7.8	7.8	16.5	16.5	16.5	7.8	7.8	7.8	7.8	7.8	7.8	16.5	16.5	16.5	1640500000	231880000	198100000	23573000	59516000	95325000	94565000	35138000	18792000	26754000	21106000	161540000	26567000	56447000	67391000	69724000	32937000	20737000	30749000	7191600	26364000	33253000	62789000	75722000	74088000	37077000	22596000	30623000	223000000	206460000	0	47516000	53644000	56987000	61223000	37502000	48357000	0	228350000	0	60657000	62270000	63593000	57362000	42554000	52314000	13041000	0	0	69484000	63736000	65322000	63373000	39682000	47989000	2	3	1	1	2	2	4	2	2	1	2	3	2	2	2	2	2	2	3	3	3	4	2	2	3	2	2	61			+	3	4756;5390;8607	True;True;True	4988;5656;9227	76886;76887;76888;76889;76890;76891;76892;76893;87045;87046;87047;87048;87049;87050;87051;87052;87053;87054;87055;87056;87057;87058;87059;87060;87061;87062;87063;87064;87065;87066;87067;87068;87069;87070;87071;140031;140032;140033;140034;140035;140036;140037;140038;140039;140040;140041;140042;140043;140044;140045;140046;140047;140048;140049;140050;140051;140052;140053;140054;140055;140056;140057;140058;140059;140060;140061;140062	46660;52831;52832;52833;52834;52835;52836;52837;52838;52839;52840;52841;52842;52843;52844;52845;52846;52847;52848;52849;52850;52851;52852;52853;52854;52855;52856;52857;84784;84785;84786;84787;84788;84789;84790;84791;84792;84793;84794;84795;84796;84797;84798;84799;84800;84801;84802;84803;84804;84805;84806;84807;84808;84809;84810;84811;84812;84813;84814;84815;84816	46660;52852;84791		
CON__P02535-1;CON__P13645	CON__P02535-1;CON__P13645	3;2	3;2	2;1			;	2	3	3	2	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	5.3	5.3	3.7	57.769	570	570;593	0.00080451	4.8657		By MS/MS		By MS/MS	By matching	By matching						By MS/MS	By matching	By matching									By matching	By matching				0	1.6	0	1.6	1.6	1.6	0	0	0	0	0	2.1	1.6	1.6	0	0	0	0	0	0	0	0	1.6	1.6	0	0	0	1022500	0	0	0	66585	110050	76778	0	0	0	0	0	430950	57225	77951	0	0	0	0	0	0	0	0	77469	125450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107940	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2			+	4	4204;4679;9300	True;True;True	4414;4907;9952	67763;75683;75684;75685;75686;75687;75688;75689;151846	41609;45969;92014	41609;45969;92014		
P02768ups;CON__P02768-1	P02768ups;CON__P02768-1	5;5	4;4	4;4			Serum albumin (Chain 26-609);	2	5	4	4	0	1	0	2	2	2	1	1	1	0	1	0	4	4	4	1	1	2	0	2	2	4	4	4	2	2	2	0	0	0	2	1	1	0	0	0	0	0	0	3	3	3	0	0	1	0	1	1	3	3	3	1	1	1	0	0	0	2	1	1	0	0	0	0	0	0	3	3	3	0	0	1	0	1	1	3	3	3	1	1	1	11.3	8.7	8.7	66.356	584	584;609	0	14.012		By matching		By MS/MS	By matching	By MS/MS	By matching	By matching	By matching		By matching		By MS/MS	By matching	By MS/MS	By matching	By matching	By matching		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	0	2.6	0	4.6	5.5	5.5	2.6	2.6	2.6	0	2.6	0	9.2	9.2	9.2	2.6	2.6	4.6	0	4.6	4.6	9.2	9.2	8.4	4.6	4.6	4.6	2562800	0	0	0	148470	40446	82025	0	0	0	0	0	0	147800	144200	182620	0	0	61913	0	88650	116270	356550	407440	372200	125190	120150	168920	0	0	0	0	0	0	0	0	0	0	0	0	192220	162590	191680	0	0	0	0	0	0	300000	280970	408580	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	3	0	1	1	12			+	5	31;4434;5536;8725;9653	True;False;True;True;True	33;4649;5808;9351;10325	534;71412;71413;71414;71415;71416;71417;71418;71419;71420;71421;71422;71423;71424;71425;71426;71427;71428;71429;71430;71431;71432;89562;89563;89564;89565;89566;89567;89568;142129;142130;142131;142132;142133;142134;142135;142136;158195;158196;158197;158198;158199;158200;158201;158202;158203;158204;158205;158206	374;43384;43385;43386;43387;43388;43389;54355;86218;86219;86220;96051;96052;96053;96054;96055;96056;96057	374;43384;54355;86218;96054		
CON__P02769	CON__P02769	7	7	6				1	7	7	6	0	3	0	1	4	4	1	1	1	0	2	0	3	4	4	1	1	1	0	2	1	2	4	4	1	1	1	0	3	0	1	4	4	1	1	1	0	2	0	3	4	4	1	1	1	0	2	1	2	4	4	1	1	1	0	2	0	1	3	3	0	0	0	0	1	0	2	3	3	0	0	0	0	1	0	1	3	3	0	0	0	13.8	13.8	11.4	69.293	607	607	0	19.451		By MS/MS		By matching	By MS/MS	By MS/MS	By matching	By matching	By matching		By MS/MS		By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	0	5.9	0	2.1	8.7	8.7	2.5	2.5	2.5	0	4.3	0	6.1	8.7	8.7	2.5	2.5	2.5	0	4.3	2.5	4.4	8.7	8.7	2.5	2.5	2.5	8091300	0	1999500	0	27198	639860	495810	76203	50777	53544	0	739620	0	277270	411500	281910	66118	56644	125350	0	595120	42144	433920	729800	542290	109710	121420	215640	0	0	0	0	536380	338450	0	0	0	0	0	0	292460	484560	284340	0	0	0	0	0	0	345580	653060	311890	0	0	0	0	3	0	0	2	1	0	0	0	0	2	0	2	2	1	0	0	0	0	1	0	1	3	1	1	1	0	21			+	6	943;3279;4375;4434;4759;5535;6830	True;True;True;True;True;True;True	997;3441;4590;4649;4992;5807;7348	16183;16184;16185;16186;16187;16188;52773;52774;52775;52776;52777;52778;70470;71412;71413;71414;71415;71416;71417;71418;71419;71420;71421;71422;71423;71424;71425;71426;71427;71428;71429;71430;71431;71432;76953;76954;76955;76956;76957;76958;76959;89561;110439;110440;110441;110442;110443;110444;110445;110446	10382;10383;10384;10385;10386;32473;32474;32475;32476;42950;43384;43385;43386;43387;43388;43389;46708;46709;46710;54354;66508	10385;32473;42950;43384;46708;54354;66508		
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__Q8BGZ7;CON__P50446;CON__Q7Z794;CON__Q922U2;CON__Q5XQN5;CON__P35908	CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	3;2;1;1;1;1;1;1	3;2;1;1;1;1;1;1	2;1;1;1;0;1;1;0			;	8	3	3	2	2	2	2	2	1	1	3	2	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	2	2	2	2	1	1	3	2	2	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	1	1	1	1	0	0	2	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	5.1	5.1	3.3	66.017	644	644;606;551;553;578;580;601;645	0	19.028	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	3.3	3.3	3.3	3.7	1.9	1.9	5.1	3.3	3.3	1.4	3.3	1.4	1.9	1.9	1.9	1.9	3.3	3.3	1.4	3.3	1.4	1.9	1.9	1.9	3.3	1.4	3.3	6642800	260880	410260	288130	164640	332260	355590	205840	286230	281580	119860	319120	204320	186250	188550	175140	102790	280520	325390	201630	310690	248730	138320	200780	271570	283260	102760	397700	0	468880	429130	0	0	0	376950	455230	467750	0	471390	0	0	0	0	0	479270	520160	0	515630	0	0	0	0	471990	0	504060	2	1	0	2	1	1	2	0	1	1	1	1	0	1	1	1	0	2	1	1	0	1	1	1	0	0	0	23			+	7	2332;7306;8193	True;True;True	2459;7848;8791	37870;37871;37872;37873;37874;37875;37876;37877;37878;37879;37880;37881;37882;37883;37884;37885;37886;37887;37888;37889;37890;37891;118086;118087;133085;133086;133087;133088;133089;133090;133091;133092;133093;133094;133095;133096;133097;133098;133099;133100;133101	23511;23512;23513;23514;23515;23516;23517;23518;23519;23520;23521;23522;23523;23524;23525;70982;70983;80424;80425;80426;80427;80428;80429;80430	23520;70983;80429		
CON__P06868	CON__P06868	2	2	2				1	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4.9	4.9	4.9	91.215	812	812	0.0096419	3.0563							By matching									By MS/MS					By MS/MS							0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	1.8	0	0	0	0	3.1	0	0	0	0	0	0	792400	0	0	0	0	0	0	26174	0	0	0	0	0	0	0	0	17890	0	0	0	0	748340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1			+	8	1941;9668	True;True	2058;10341	31729;158469;158470	19633;96211	19633;96211		
CON__Q2UVX4	CON__Q2UVX4	6	6	6				1	6	6	6	0	0	1	0	0	0	5	3	1	0	1	1	0	0	0	6	2	1	0	1	1	0	0	0	4	2	1	0	0	1	0	0	0	5	3	1	0	1	1	0	0	0	6	2	1	0	1	1	0	0	0	4	2	1	0	0	1	0	0	0	5	3	1	0	1	1	0	0	0	6	2	1	0	1	1	0	0	0	4	2	1	4.9	4.9	4.9	187.37	1662	1662	0	14.264			By matching				By MS/MS	By matching	By matching		By MS/MS	By matching				By MS/MS	By matching	By matching		By matching	By matching				By MS/MS	By matching	By matching	0	0	0.4	0	0	0	4.2	1.9	0.4	0	0.4	0.4	0	0	0	4.9	1.1	0.4	0	0.4	0.4	0	0	0	3.1	1.4	0.7	34805000	0	0	3804200	0	0	0	2550300	1411300	1021500	0	4618900	4752200	0	0	0	2722400	871330	1199400	0	3852000	5117600	0	0	0	2608700	233140	41793	0	0	0	0	0	0	3757200	2074200	0	0	0	0	0	0	0	4821300	1987700	0	0	0	0	0	0	0	2760500	1731100	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	15			+	9	1898;2093;3110;3180;3771;8133	True;True;True;True;True;True	2013;2213;3263;3336;3957;8729	31062;31063;34094;34095;34096;34097;34098;34099;49782;49783;49784;49785;49786;49787;49788;49789;49790;49791;49792;49793;49794;49795;49796;51035;51036;51037;60811;60812;60813;132077;132078;132079;132080;132081;132082	19234;21053;21054;21055;30679;30680;30681;31425;31426;31427;37344;37345;37346;79898;79899	19234;21055;30681;31426;37344;79898		
