protein	X6A_1	X6A_2	X6A_3	X6A_4	X6A_5	X6A_6	X6A_7	X6A_8	X6A_9	X6B_1	X6B_2	X6B_3	X6B_4	X6B_5	X6B_6	X6B_7	X6B_8	X6B_9	X6C_1	X6C_2	X6C_3	X6C_4	X6C_5	X6C_6	X6C_7	X6C_8	X6C_9
A5Z2X5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.31717
P02768ups;CON__P02768-1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5524	17.31088	17.54834	NaN	NaN	NaN	NaN	NaN	NaN	18.1946	18.10006	18.64026	NaN	NaN	NaN
D6VTK4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.31274	NaN	NaN	NaN
O00762ups	NaN	NaN	NaN	18.89152	18.75757	18.67124	NaN	18.63598	NaN	NaN	NaN	NaN	19.45986	19.97141	19.68726	20.2092	19.46589	19.93069	NaN	NaN	NaN	20.82345	20.51682	21.05039	21.91929	20.94928	21.33429
O13516	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.23009
O13547	NaN	NaN	NaN	NaN	NaN	NaN	22.15582	22.34992	22.18879	NaN	NaN	NaN	NaN	NaN	NaN	22.34889	22.34213	21.98412	NaN	NaN	NaN	NaN	NaN	NaN	22.14464	22.46643	22.29098
O13563	NaN	NaN	NaN	18.88429	19.0128	18.98437	19.4775	19.81229	19.69569	NaN	NaN	NaN	18.96189	19.23437	19.09414	19.58211	19.82848	19.7455	NaN	NaN	NaN	19.35924	19.28988	19.04169	19.40129	19.87431	19.59162
O14455	25.96834	26.00873	26.06751	25.16672	25.36973	25.4921	25.76269	25.52809	25.40613	26.02551	26.02709	25.99458	25.49756	25.46706	25.45026	25.55807	25.54681	25.32089	26.22297	25.63179	25.75822	25.4627	25.35998	25.38782	25.5131	25.51292	25.35353
O14467	23.21367	22.78193	23.53445	22.82277	23.12523	23.03512	23.31161	23.03725	23.07764	23.4367	23.67282	23.13096	23.37079	23.586	23.23583	23.1456	23.39976	23.21496	NaN	23.51629	23.22742	23.47593	23.73965	23.64042	22.96284	23.33987	23.0065
O43137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.60321
O74700	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.91949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.94627	NaN	NaN	NaN	NaN	18.29424
O94742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.95433	NaN	NaN
P00330;P00331;P38113	28.5476	27.9695	27.68919	28.11018	28.22789	28.28767	27.95665	28.1062	27.89574	28.14628	27.80606	27.44198	28.00796	28.2479	28.30491	27.97531	28.04932	27.93927	27.74817	28.04103	27.61323	27.96549	28.21591	28.11491	27.89695	28.06461	27.93129
P00358	NaN	NaN	NaN	23.15436	NaN	NaN	23.31424	22.39788	22.36092	NaN	NaN	NaN	23.54757	NaN	NaN	23.25296	22.42601	NaN	NaN	NaN	NaN	23.56291	NaN	NaN	23.69062	22.65202	22.76521
P00359	29.00927	28.93182	29.17498	29.89361	29.58411	29.83957	29.9303	29.87656	29.8878	29.26725	29.59251	28.72244	30.19613	30.00999	30.05672	29.94475	29.82623	29.85809	28.86779	28.71119	28.8337	30.11309	29.80366	29.96705	29.96912	29.76002	29.80034
P00360	20.39979	19.921	21.04847	20.27799	20.11197	19.85663	20.13871	20.48424	20.68979	20.66709	19.10137	20.11629	19.78323	19.83016	19.70332	19.95617	20.51374	20.48168	NaN	NaN	20.33495	19.64047	19.78122	19.7638	20.09404	20.76353	20.54699
P00431	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.46451	NaN	NaN	NaN
P00441ups	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.78381	18.83485	NaN	19.64827	19.33324	19.20299	NaN	NaN	NaN	20.80223	19.8672	20.15462	21.32871	21.08648	21.66709
P00445	24.93071	24.77771	24.92981	24.20829	24.52767	24.5576	24.91579	24.92547	24.81098	24.50319	24.453	25.20191	24.29278	24.50773	24.49014	24.79099	24.72182	24.58159	NaN	24.3678	25.29411	24.39225	24.6075	24.47698	24.74597	24.78187	24.7399
P00447	NaN	NaN	NaN	17.75192	17.35853	17.46611	NaN	NaN	NaN	NaN	NaN	NaN	17.42669	17.2774	17.12727	NaN	NaN	NaN	NaN	NaN	NaN	17.27394	17.11054	17.28771	NaN	NaN	NaN
P00498	19.91458	20.06553	19.80363	21.1261	21.18471	21.11051	20.85095	20.92557	20.9876	19.71196	19.29203	20.4206	20.7357	20.89763	20.93682	20.83545	21.40166	20.93438	19.80008	19.31092	19.80467	20.92593	20.85871	21.06979	20.945	21.57773	21.29092
P00549	28.93722	29.32243	28.35712	29.13836	29.26085	29.44253	29.15682	29.05002	28.90314	28.83762	28.9712	28.06296	29.23827	29.37464	29.30806	29.16658	28.98796	28.90722	29.21375	28.66224	28.07511	29.22633	29.35309	29.27073	29.11158	29.02022	29.03703
P00560	28.47812	28.64461	27.63118	28.64055	28.59911	28.69608	28.64444	28.60187	28.48857	27.50097	28.69544	26.91821	28.47935	28.60858	28.70757	28.66377	28.64351	28.5125	27.88449	27.7433	27.47669	28.49713	28.58384	28.54569	28.55534	28.60148	28.56602
P24031;P00635;P38693;P35842	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.17019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.33617	19.28254
P00709ups	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.24493	20.24609	NaN	NaN	20.39079	NaN	NaN	NaN	21.61634	21.53749	21.57325	NaN	NaN	NaN
P00812	NaN	NaN	NaN	20.1514	20.0988	20.07078	19.80535	20.35466	20.29983	NaN	NaN	NaN	20.10712	20.21999	20.17194	20.3656	20.29603	20.05881	NaN	NaN	NaN	20.089	20.07822	20.16791	20.1706	20.391	20.18398
