Name	Fraction	Experiment
20160321_QEp4_SoDo_SA_test_aO1	100	Ao1match
20160321_QEp4_SoDo_SA_test_Ao2	100	Ao2match
20160321_QEp4_SoDo_SA_test_LA1	100	LA1match
20160321_QEp4_SoDo_SA_test_LA2	100	LA2match
20160321_QEp4_SoDo_SA_test_LV1	100	LV1match
20160321_QEp4_SoDo_SA_test_LV2	100	LV2match
20160321_QEp4_SoDo_SA_test_MK1	100	MK1match
20160321_QEp4_SoDo_SA_test_MK2	100	MK2match
20160321_QEp4_SoDo_SA_test_RA1	100	RA1match
20160321_QEp4_SoDo_SA_test_RA1bis	100	RA1match
20160321_QEp4_SoDo_SA_test_RA2	100	RA2match
20160321_QEp4_SoDo_SA_test_RV_Fraaction1	1	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction2	2	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction3	3	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction4	4	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction5	5	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction6	6	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction7	7	RVmatch
20160321_QEp4_SoDo_SA_test_RV_Fraaction8	8	RVmatch
20160321_QEp4_SoDo_SA_test_RV1	100	RV1match
20160321_QEp4_SoDo_SA_test_RV1_160401101340	100	RV1match
20160321_QEp4_SoDo_SA_test_RV2	100	RV2match
20160321_QEp4_SoDo_SA_test_SV1	100	SV1match
20160321_QEp4_SoDo_SA_test_SV2	100	SV2match
20160408_QEp4_GeBo_SA_A17_test	100	A17match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F1	1	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F2	2	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F3	3	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F4	4	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F5	5	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F6	6	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F7	7	A17T1match
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F8	8	A17T1match
20160425_QEp4_SoDo_SA_LC12_AV	100	Avmatch
20160425_QEp4_SoDo_SA_LC12_PulAr	100	PulArmatch
20160425_QEp4_SoDo_SA_LC12_PulKl	100	Pulklmatch
20160425_QEp4_SoDo_SA_LC12_RA-8fraction1	1	Ra-8Fraction1match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction2	2	Ra-8Fraction2match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction3	3	Ra-8Fraction3match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction4	4	Ra-8Fraction4match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction5	5	Ra-8Fraction5match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction6	6	Ra-8Fraction6match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction7	7	Ra-8Fraction7match
20160425_QEp4_SoDo_SA_LC12_RA-8fraction8	8	Ra-8Fraction8match
20160425_QEp4_SoDo_SA_LC12_RA-test100min250-1	100	Ra-Test100Min250-1match
20160425_QEp4_SoDo_SA_LC12_RA-test100min250-2	100	Ra-Test100Min250-2match
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-2	100	Ra-Test100Min450-2match
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-1	100	Ra-Test100Min450-74Max-1match
