Gene names	Protein IDs	Majority protein IDs	Protein names	RA3	RA4	RA8	LA3	LA4	LA8	SepA3	SepA4	SepA8	RV3	RV4	RV8	LV3	LV4	LV8	SepV3	SepV4	SepV8
SERPINB6	A0A024QZX5;A0A087X1N8;P35237	A0A024QZX5;A0A087X1N8;P35237	Serpin B6	28.7773722155401	30.8217568330129	29.5993010641733	29.9270530882017	31.074696642268	29.7132069583833	29.2048979558858	30.8873637560472	30.158823492999	30.1004913511771	30.5812738347956	27.433166943559	28.7748929530504	28.380552089938	28.9805730313993	28.365195736409	28.6672599717556	28.1432135558266
hCG_1994888;DNAJC25	A0A024R161;Q9H1X3-3;F2Z3D1;J3QR79	A0A024R161;Q9H1X3-3	Guanine nucleotide-binding protein subunit gamma;DnaJ homolog subfamily C member 25	23.5666263990494	23.1478682141728	23.9329204623241	24.3239546902311	24.3951256378632	25.1053756047874	NA	NA	23.4699825714116	23.8165571469754	23.3081367947499	23.9453881087365	23.9037097695251	23.5333839190527	23.7473489119064	NA	NA	24.3183795157964
HDLBP	A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;H7BZC3;C9JZI8;C9JHZ8;C9JES8;C9JHS7;C9JT62;C9JK79;C9JBS3;C9JEJ8;A0A0E3D6N3;C9JHN6;C9JMQ6;C9JQ82;C9JHS9;C9J739;H7C3D0	A0A024R4E5;H0Y394		30.7481522771117	30.5739813422292	30.4840455508463	30.0808076081612	30.2376302587525	30.2213569353807	29.6738274722976	29.5996025734001	30.9159870281253	29.9078462732347	30.0403543602288	30.0126524980118	29.7490799113104	29.588851286078	29.7922365675601	29.4955465265849	28.9704875586165	29.3747400593039
TMEM120A;TMPIT	Q9BXJ8;A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;A0A087WZF4;A0A087WV11	Q9BXJ8;A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2	Transmembrane protein 120A	25.7377637168235	26.8235952323007	26.5390320487777	26.4367449594931	26.9383154017648	27.0832447651413	25.7503680134183	26.5603275858847	27.7336971479434	26.7611644685017	26.3757552320235	26.5213020997058	27.9343835849312	27.7211022142945	28.0567237006465	27.6344338591394	27.10948636152	27.075104846286
CLN5	O75503;A0A024R644;A0A087WZY0	O75503;A0A024R644;A0A087WZY0	Ceroid-lipofuscinosis neuronal protein 5	25.0888952916552	24.5092390851841	23.5803791134274	23.62377256094	23.8159711223079	24.0141008588206	22.3861393067512	22.7459344144493	25.2770713970336	22.0347976195053	22.979804754977	22.216171535735	20.863932160759	NA	NA	NA	NA	NA
SERPINA1	A0A024R6I7;A0A0G2JRN3;G3V544;A0A0B4J278;G3V5R8;G3V387;A0A0G2JPK4	A0A024R6I7;A0A0G2JRN3		NA	NA	27.8035969773959	24.6944488622412	22.8747772779126	29.8995152751369	25.353027528771	23.9401988744676	30.2424085291656	21.7826079550329	NA	29.4770350575983	NA	NA	28.8409516707491	NA	NA	29.9203952466521
CES2	O00748;A0A024R6X1;O00748-2;J3QSC0;J3QLP1;A0A0C4DGH1;Q5XG92-2	O00748;A0A024R6X1;O00748-2;J3QSC0	Cocaine esterase;Carboxylic ester hydrolase	29.1353325566975	28.4712314599807	27.9748146336813	28.2568740244139	28.6347454226955	27.7803166839361	28.9918862167668	29.3390275470435	28.7492557746666	30.8423611824017	30.3456195140502	29.0652759299826	30.3510021200296	29.860368201985	30.2816237465287	30.0198267951619	29.7146814032628	29.7265367131886
TCEB3	A0A024RAC6;Q14241	A0A024RAC6;Q14241	Transcription elongation factor B polypeptide 3	21.0343610548546	23.3303293597689	21.038318884385	23.5234872986999	22.4076391300753	NA	NA	NA	23.2754027409452	22.5006707422777	22.9929127576126	NA	22.5092995008143	21.6439442422048	NA	24.4875073973199	22.844908004078	NA
BAG6;BAT3	P46379;A0A024RCR6;A0A0G2JK23;P46379-2;P46379-3;A0A0G2JL47;P46379-5;P46379-4;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;A0A0G2JJR8;F6VEM6;F6X9W3;F6U341;F6U1F2;F6XTU0;F6WML8;H0Y710;F6TC96;H0Y4L1	P46379;A0A024RCR6;A0A0G2JK23;P46379-2;P46379-3;A0A0G2JL47;P46379-5;P46379-4;F6S6P2;X6REW1;A0A0G2JJM1	Large proline-rich protein BAG6	28.1400955833633	28.4380546784686	28.613544833698	27.8942332623247	28.3030403100399	28.3696950488751	27.561726464093	28.2713295142106	28.1722645135367	28.0881067624384	27.4925891471534	27.7655971039012	27.8268711906575	27.6672261283166	27.9016744599364	27.2657077481624	27.6361639169566	27.2924595370962
TMCO4	A0A075B6H3;Q5TGY1;Q5TGY1-2	A0A075B6H3;Q5TGY1;Q5TGY1-2	Transmembrane and coiled-coil domain-containing protein 4	NA	NA	20.9356744021541	NA	NA	NA	23.1143244202881	NA	NA	23.9063731790212	25.0507172091354	21.3544474082815	23.7942183237796	25.8655424249528	23.6334502616392	NA	NA	23.2744077297932
IGLV4-69	A0A075B6H9;A0A075B6K6	A0A075B6H9		NA	NA	NA	NA	NA	NA	NA	26.1049358988851	21.7033696537084	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGLV8-61	A0A075B6I0	A0A075B6I0		25.5275495482898	25.4043487493359	27.298502706219	25.7773345877064	25.1778246259006	26.0425581364608	24.9619046476951	26.3510231888066	24.5622070153796	24.878673620892	26.8210421118553	26.0271132827694	24.4541265621946	27.4766102527916	25.8449367290039	NA	27.1402418889536	25.0201342263476
IGLV6-57	A0A075B6I2;P06319	A0A075B6I2		27.6855206882023	26.9033420165175	27.0342267006879	25.9383378385272	28.2259595714137	25.984897162774	27.6971696144873	26.9374176450209	27.2416359773478	26.1156504596944	27.195635785423	26.1660315687484	26.7165959315596	27.5664522060996	NA	27.0291793659506	25.9704875586165	26.5340076330658
IGLV1-51	A0A075B6I5;P01702;P06316	A0A075B6I5;P01702;P06316	Ig lambda chain V-I region NIG-64;Ig lambda chain V-I region BL2	27.2332476617513	27.0488480293781	27.0645566119516	26.9023072083147	23.7545026173525	26.0149947087616	NA	27.7378281732087	27.0999899801761	26.1225191765484	NA	27.5102809003723	25.662127014744	25.5156892523841	26.3218751232584	24.5336809593553	23.3579675219745	NA
IGLV1-47;IGLV1-44	A0A075B6I8;A0A0G2JQC2;A0A0B4J1U1	A0A075B6I8;A0A0G2JQC2;A0A0B4J1U1		26.3745783944546	27.0716314250224	27.887276590286	27.5879219217818	27.1746473222587	27.1517050167203	26.1262269429081	26.2163417840167	27.3410443673801	25.8397329830319	25.9507367123945	25.6945285669477	24.6464734540223	26.2628796704778	25.6286195261123	NA	NA	NA
IGLV7-46	A0A075B6I9	A0A075B6I9		22.8033727993977	22.3940659340915	NA	23.215179254749	NA	21.9321455319557	NA	25.8275254906192	NA	22.8398434878032	NA	NA	NA	NA	NA	NA	NA	NA
IGLV1-40	A0A075B6J0	A0A075B6J0		24.8680180623818	23.9255145994761	23.6170602580087	24.4665017027566	22.7622295437239	NA	23.6266715549647	NA	NA	24.7505724697575	23.5527413220076	NA	NA	23.3497585172699	NA	NA	NA	NA
IGLV3-25	A0A075B6J4	A0A075B6J4		26.561726464093	27.0486401931693	26.2989396349727	27.1236640786742	26.2654931518796	26.0538478475106	27.298502706219	27.2795884785529	26.8911069104368	25.6774781418281	26.289102979993	26.1022948454557	25.3198958931229	25.0407201484947	24.7775101758676	25.0203886026228	25.8107351844188	25.0508832413065
IGLV3-21	A0A075B6J7;P01720	A0A075B6J7		29.2377897896678	29.0758954130446	28.7102699648203	28.9633386834848	28.0575502231789	28.3815012993247	28.7523538469205	28.6953452864039	28.8157696213379	29.1389978182491	28.0432780728166	28.5077127514539	27.3116399567238	27.7878695881506	27.5911364046723	27.1301609423214	27.188107518176	27.8871603610782
IGLV3-19	A0A075B6J8	A0A075B6J8		25.2403444378129	24.3038938778478	22.4058488476183	26.0167594995669	24.0990870730594	22.9531726616363	24.4629500298405	23.9881520976905	24.3774276725312	24.5039732167145	NA	NA	NA	NA	NA	22.7764362453987	24.1998532358452	NA
IGLV2-18	A0A075B6J9	A0A075B6J9		27.9277878162661	23.6667657787083	NA	23.2709910436708	22.6344033915358	NA	NA	NA	NA	24.9494904773214	23.9551787845068	24.4045761372403	22.1462218514856	25.4990531732827	24.9837670689869	22.5199414143246	NA	NA
IGLV3-16	A0A075B6K0	A0A075B6K0		24.2964911278299	24.6472972392562	25.1100043634184	24.6981637310534	24.7588795132738	24.5195335582069	22.6640548623541	24.5885796876628	24.550277081638	23.2615532190826	23.8452718108869	22.0282015076157	NA	23.8419174847051	23.6313422745085	NA	NA	25.3071988631701
IGLV2-14	A0A075B6K1	A0A075B6K1		22.6180018625505	NA	NA	NA	NA	NA	23.3059125583627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGLV3-12	A0A075B6K2	A0A075B6K2		23.9770989099592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGLV2-11	A0A075B6K3	A0A075B6K3		24.2070971581464	25.5055792247393	25.4544089974637	NA	24.0575502231789	23.8788606802169	NA	23.9570403839454	22.7342994648563	24.7617731791921	21.5562309877663	NA	24.1026152307648	24.8923119372051	22.9049226897741	22.0717255218784	NA	NA
IGLV3-10	A0A075B6K4	A0A075B6K4		25.1342213659955	25.7482450673768	25.903778712779	23.5566052155926	24.1202859785269	24.8373045469912	22.8336421486349	25.1647280440414	25.1949410671896	NA	NA	24.9702242290269	22.0330169498141	24.6065375999491	NA	23.2241883743055	NA	23.3645279766003
IGLV3-9	A0A075B6K5	A0A075B6K5		25.0753701169745	26.4977900874354	25.1713484681865	25.1597330897784	25.7097508573078	25.9047435725557	25.1432816862151	26.2765390568774	24.6336719759536	24.772384251074	25.2931965819325	22.9060244603449	21.9421335987799	24.2856680530885	23.6509710812574	NA	NA	23.3555500469407
IGLC3;IGLC2	A0A075B6L0;A0A075B6K9;P0CG05;P0CG06;P0CF74	A0A075B6L0;A0A075B6K9;P0CG05;P0CG06	Ig lambda-2 chain C regions;Ig lambda-3 chain C regions	32.3776179760407	32.5455881837599	31.7663556186615	31.803743228604	31.1219488540074	31.1094240891539	33.3321812104062	32.9757406659705	32.9235686363046	32.360818373908	32.4605598057302	33.3750301815516	32.3624392328723	32.2053059001953	32.1682405567404	32.1184565793541	31.4092762495011	31.1895456278882
BCORL1	A0A075B6Q3;Q5H9F3-3;Q5H9F3;Q5H9F3-2;H7C4B2;H7C231;H7BZ37;H7C2V9;A6NE70	A0A075B6Q3;Q5H9F3-3;Q5H9F3;Q5H9F3-2	BCL-6 corepressor-like protein 1	NA	NA	NA	NA	NA	22.8934881845231	22.6696878581068	NA	NA	NA	NA	NA	NA	NA	NA	22.0486318790981	24.5407916405634	NA
IGKV2-24;IGKV2D-24	A0A0C4DH68;A0A075B6R9	A0A0C4DH68;A0A075B6R9		27.8026113195304	27.0233741690151	26.6612572827739	25.4103462767663	25.9391004809062	26.6635663559679	27.3479016580129	27.9032270744754	26.2645091769498	26.2049352584428	27.5252958149088	26.4154488231383	25.4035363569857	25.2246815115382	25.6173966158982	25.2387056115291	27.0679445470684	25.6864560714876
IGKV2-30	A0A075B6S3;P06310	A0A075B6S3;P06310	Ig kappa chain V-II region RPMI 6410	25.8447212781175	23.4241908978986	NA	NA	25.7867111320662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGKV1-27	A0A075B6S5	A0A075B6S5		NA	NA	NA	23.1057352645089	NA	NA	NA	NA	NA	23.869289595086	23.7637497170663	NA	NA	NA	NA	NA	NA	NA
IGKV1-37;IGKV1D-37	A0A0E3D6N1;A0A075B6S9	A0A0E3D6N1;A0A075B6S9		NA	NA	NA	NA	23.1854670971644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPPK1	A0A075B730;A0A087X1U6	A0A075B730;A0A087X1U6		21.6428872581848	22.6008901951955	24.2521254524939	24.0917627108342	22.3213005657186	22.0631251300671	20.6258693396669	24.6404179464294	19.7545841693178	22.0006176294569	18.3625602954496	22.2307252909758	NA	19.0329766073092	26.4545188184712	23.173332498493	23.4841915613335	22.6034053980054
PECAM1	A0A075B738;A0A075B727;A0A075B728;A0A075B737	A0A075B738		28.4349173044917	28.8943200087972	29.1443567470136	29.116022444907	29.1508339117078	28.5635822546783	28.1333984355265	29.0527653321845	28.8795560943556	28.4534437819353	28.0927508512549	28.4673493839605	28.8773050119379	28.6523258466562	28.6501014453934	28.3188104669126	28.4625990613326	28.8264469487974
MRPS21	P82921;A0A075B746	P82921;A0A075B746	28S ribosomal protein S21, mitochondrial	25.9876318013427	26.4400606077676	26.4893309267044	26.9453657813532	27.5681931898678	26.5709020418703	26.3309447710809	27.0019578972156	26.1576724404126	27.0769403364074	27.4968610899052	27.0742883227179	26.8582796684215	27.349336713612	27.2774616550116	26.7732901504526	26.9410053249323	26.6924548121091
PDE4DIP	A0A087WX83;A0A075B749;A0A087WVF8;Q5VU43-3;Q5VU43-8;Q5VU43-12;Q5VU43-9;A0A087WYE4;E9PS60;A0A087WWY1;A0A087X229;A0A087WVQ4;H0YCY0;E9PNE0;A0A087WWK4;H0YCH7;A0A087WWI2;E9PJK3;A0A087X0I1;H0YEW6	A0A087WX83;A0A075B749;A0A087WVF8;Q5VU43-3	Myomegalin	25.8814536285511	26.1725315839035	24.7957547139785	26.0742474844061	25.141762588201	25.5177328152551	26.4076099584959	25.8716883257178	25.1157695053981	25.0741862247708	25.8605310101602	24.5326113279225	25.025001980161	25.2265935837468	25.190049805585	24.3986523726302	29.0205422665571	23.9900582472021
PEX12	O00623;A0A075B773;K7ELY8	O00623;A0A075B773;K7ELY8	Peroxisome assembly protein 12	22.8916353922399	22.0914883314171	22.6193907279674	22.1089761470977	22.0995044870265	22.9757703165187	NA	25.4307128650476	22.1958347511759	22.8162641643971	23.7995638446617	23.9631402096825	22.5345242204831	22.0207277012354	NA	NA	NA	NA
SYNM	A0A075B7B1;H0YL34;C9JIE4	A0A075B7B1;H0YL34		25.0789159756295	26.3225972961344	NA	25.9844191542017	25.0894207384659	NA	25.418475975164	26.3326187286455	NA	25.8947883496391	26.0832853495635	22.3109954586559	25.4809297022485	25.151279208873	23.931027457219	25.5419438231755	26.1949598477573	NA
IGHV3OR16-12	A0A075B7B8	A0A075B7B8		24.7124560508296	NA	23.8313242554478	24.4400606077676	23.9913564521317	23.7072512710632	23.486280198334	23.8457503643264	23.7248402238223	22.7209639697735	24.2616249503463	NA	NA	23.4205976331746	22.8692142762292	NA	NA	23.6213150078177
POM121C	A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2;A6NF01;C9JFL1	A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2	Nuclear envelope pore membrane protein POM 121C	23.6341153023889	22.7275432635308	23.2691369545884	23.5240854061836	23.3150655134795	25.1911047102136	NA	NA	NA	22.1145150638353	NA	NA	NA	23.3032668160279	NA	NA	25.1567277951015	NA
BCL2L12	Q9HB09;A0A087WSV0;I6LJZ7;Q9HB09-3;M0QZM6;M0R1Z8;I6LJZ9	Q9HB09;A0A087WSV0;I6LJZ7;Q9HB09-3;M0QZM6	Bcl-2-like protein 12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEL-S-109;NUCB2;Nucb2	V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6;E9PLR0;E9PLE9;H0YEG8;H0YD18;E9PM22;E9PJP3	V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6	Nucleobindin-2;Nesfatin-1	28.9046918999944	29.1777866157298	29.5298816618275	29.0633483784026	29.9616839002322	29.5833378407422	28.3714825434997	29.2827286673462	28.9874203773412	28.9736382967952	28.9321320120343	28.2224629079324	28.6229631478623	28.4956418250611	28.2850683045698	28.4792343176776	27.9059831591297	27.776431225155
TXNRD1	Q16881;Q16881-3;Q16881-4;A0A087WSW9;A0A087WSY9;F8W809;Q16881-5;Q16881-2;E9PIR7;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8	Q16881;Q16881-3;Q16881-4;A0A087WSW9;A0A087WSY9;F8W809;Q16881-5;Q16881-2;E9PIR7	Thioredoxin reductase 1, cytoplasmic	30.8552674526192	30.6523258466562	29.9949636506127	30.3984607463636	30.1237380712566	29.8343205141743	30.4773053228176	30.0656097771948	30.1023699421464	29.262149376845	29.0934310647661	29.3025392570115	29.0453628172867	29.175527964979	29.4907544351119	29.6026672950726	29.3423378935086	29.2924156535038
IGHV4-31	A0A087WSY4	A0A087WSY4		24.1701261688995	23.1794505232576	25.0239451690608	24.1811656053832	22.2480908696097	24.2759710107864	NA	NA	24.7540438016322	22.9733372192758	NA	24.5280267088832	NA	20.4776357497744	23.5888655793152	NA	21.6365290399639	23.3505680347554
IGKV3D-15	A0A087WSY6	A0A087WSY6		23.7972894697474	25.6807005425146	25.394046302605	24.1713484681865	25.0978823172141	25.6532419867869	21.9079688677433	24.088288768976	23.1697898549673	NA	22.8881828568814	22.4874337948112	NA	NA	NA	19.8583422795058	23.092198382682	22.0728051508499
IGKV1D-8	A0A0G2JQJ0;A0A087WSZ0	A0A0G2JQJ0;A0A087WSZ0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPX4	P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1;A0A087X247	P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;Glutathione peroxidase	28.9804640809176	28.6619368056732	28.6395488239178	29.7949340639092	28.4430445153164	28.2570539284002	28.7618619280468	29.5017468496694	28.7726611140176	29.6003117584121	29.2005081770209	29.123935366259	29.1304064614657	29.2433168843291	29.7347956057591	29.6734231436795	28.2131277354335	28.9736382967952
DCAF13	A0A087WT20;Q9NV06;B3KME9;E5RHM4;A0A087X1F8;Q9NV06-2	A0A087WT20;Q9NV06;B3KME9	DDB1- and CUL4-associated factor 13	20.5030026852007	19.3477597632194	NA	20.3186001788499	21.0130445509221	20.9327222639405	NA	22.475559288989	NA	22.1164518445545	21.7654706459933	22.0271892320754	21.4699577378208	NA	22.3871127940999	23.2152088849613	NA	NA
TNNI1	P19237;A0A087WT47;G3V489;G3V4F8;G3V3L5	P19237;A0A087WT47;G3V489;G3V4F8;G3V3L5	Troponin I, slow skeletal muscle	30.3051950321978	32.6142779204997	31.3155967838984	32.1367203426024	31.3610799259748	28.910364815476	29.5075426390385	30.3022559761314	29.2461291562545	27.6513680634944	27.7807547080676	28.241726887272	23.5860041101696	24.3359948913287	28.6409281395169	27.07306267022	25.731432980206	26.0298112493278
LAMTOR4	Q0VGL1;A0A087WT92;A0A087WVU0;A0A087WV46;C9JXA7	Q0VGL1;A0A087WT92;A0A087WVU0;A0A087WV46;C9JXA7	Ragulator complex protein LAMTOR4;Ragulator complex protein LAMTOR4, N-terminally processed	NA	NA	26.3341372743231	NA	NA	NA	NA	NA	NA	NA	24.337560929	NA	NA	NA	NA	22.7015729825586	NA	NA
