Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20160321_QEp4_SoDo_SA_test_aO1	Ao1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8218	64817	0	71877	57757	0	14120	19399	18691	0	708	26.99	32.36	NaN	5.01	12810	819893	59406	7.25	2967	4.99	137109	51584	50952	37.62	40.77	4487	8.7	+	0.62448	0.90265	0.41893	0.64907	
20160321_QEp4_SoDo_SA_test_Ao2	Ao2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8393	64431	0	71620	57242	0	14378	19322	18510	0	812	26.98	32.34	NaN	5.65	12608	811357	58954	7.27	3011	5.11	135866	51144	50474	37.64	40.73	4369	8.54	+	0.61297	0.88742	0.41128	0.63823	
20160321_QEp4_SoDo_SA_test_LA1	LA1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9095	68532	0	75896	61168	0	14728	25202	24181	0	1021	33.21	39.53	NaN	6.93	16264	898886	63232	7.03	2965	4.69	157040	55325	54364	35.23	39.38	4326	7.82	+	0.64429	0.92718	0.44106	0.6802	
20160321_QEp4_SoDo_SA_test_LA2	LA2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8915	68479	0	75990	60968	0	15022	27371	26208	0	1163	36.02	42.99	NaN	7.74	17553	863209	62934	7.29	3032	4.82	150686	54846	53828	36.4	40.55	4423	8.06	+	0.62959	0.90968	0.43141	0.67041	
20160321_QEp4_SoDo_SA_test_LV1	LV1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9087	69088	0	77291	60885	0	16406	24143	22985	0	1158	31.24	37.75	NaN	7.06	15123	882090	63445	7.19	2967	4.68	154259	54956	53915	35.63	40.23	4298	7.82	+	0.64872	0.93002	0.44172	0.67777	
20160321_QEp4_SoDo_SA_test_LV2	LV2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9172	70545	0	79487	61603	0	17884	25085	23878	0	1207	31.56	38.76	NaN	6.75	15804	880585	64744	7.35	3051	4.71	153500	55581	54463	36.21	40.78	4549	8.18	+	0.63939	0.92021	0.44139	0.68307	
20160321_QEp4_SoDo_SA_test_MK1	MK1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8803	65402	0	78665	52139	0	26526	13258	12481	0	777	16.85	23.94	NaN	2.93	7598	671796	57186	8.51	3340	5.84	102089	44220	43535	43.32	46.58	5703	12.9	+	0.59081	0.84983	0.40954	0.64152	
20160321_QEp4_SoDo_SA_test_MK2	MK2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8567	63194	0	74951	51437	0	23514	12770	11921	0	849	17.04	23.18	NaN	3.61	7599	670128	55610	8.3	3298	5.93	102998	44108	43503	42.82	46.07	5269	11.95	+	0.58453	0.84699	0.4009	0.63274	
20160321_QEp4_SoDo_SA_test_RA1	RA1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8574	70880	0	78405	63355	0	15050	27045	25906	0	1139	34.49	40.89	NaN	7.57	17759	911263	65461	7.18	2988	4.56	160840	57241	56301	35.59	39.64	4441	7.76	+	0.65151	0.93906	0.44588	0.68571	
20160321_QEp4_SoDo_SA_test_RA1bis	RA1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8711	72095	0	80504	63686	0	16818	27293	26128	0	1165	33.9	41.03	NaN	6.93	17617	912621	66157	7.25	3256	4.92	159478	57214	56121	35.88	40.3	4753	8.31	+	0.65577	0.94361	0.4524	0.69998	
20160321_QEp4_SoDo_SA_test_RA2	RA2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8144	69473	0	76748	62198	0	14550	26065	25020	0	1045	33.96	40.23	NaN	7.18	17386	889242	64059	7.2	3021	4.72	158244	56105	55124	35.45	39.42	4370	7.79	+	0.66002	0.95478	0.45206	0.70272	
20160321_QEp4_SoDo_SA_test_RV_Fraaction1	RVmatch	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9782	60497	0	69116	51878	0	17238	16011	15191	0	820	23.17	29.28	NaN	4.76	9417	862428	54661	6.34	2920	5.34	131829	46020	45048	34.91	39.52	4232	9.2	+	0.63995	0.92095	0.4406	0.68227	
20160321_QEp4_SoDo_SA_test_RV_Fraaction2	RVmatch	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9029	63667	0	73109	54225	0	18884	17349	16281	0	1068	23.73	30.02	NaN	5.66	10098	794894	56984	7.17	3214	5.64	128175	47818	46848	37.31	41.64	4433	9.27	+	0.64181	0.92049	0.44228	0.68379	
